hex_Res7,total_sales,med_price,med_price_sf,current_pop,pop_change,median_income
8744c12f0ffffff,8,560500,240.8550062,2276,1.6,150124
8744c12f1ffffff,13,450000,246.1410096,3086,1.63,121297
8744c12f2ffffff,18,797000,223.1655393,4412,1.56,184660
8744c12f3ffffff,5,650000,232.033516,2414,2.4,128630
8744c12f4ffffff,12,779500,264.3484322,5218,1.59,154861
8744c12f5ffffff,14,482500,244.523163,5977,1.61,145434
8744c12f6ffffff,2,935000,189.4071816,3296,1.41,168966
8744c1300ffffff,29,1300000,364.5200486,4638,0.18,168867
8744c1301ffffff,18,910000,288.4925709,6135,-0.3,202977
8744c1302ffffff,26,560750,294.0435808,5949,4.09,86011
8744c1303ffffff,41,725000,307.2682728,7277,0.11,128582
8744c1304ffffff,57,690000,372.4005923,12350,0.54,134223
8744c1305ffffff,36,917500,329.4715292,5073,-0.43,249227
8744c1306ffffff,47,550000,319.025522,7338,-0.02,141221
8744c1308ffffff,47,620000,271.2371769,10533,0.22,116462
8744c1309ffffff,52,515000,226.5005663,7407,1.26,110515
8744c130affffff,28,660000,301.021948,11820,0.23,121608
8744c130bffffff,32,590000,217.9755981,8707,-0.4,105865
8744c130cffffff,59,445000,264.7783251,9270,0.17,108704
8744c130dffffff,53,610000,275.8738862,5821,0.3,122823
8744c130effffff,17,258000,227.0620945,6598,3.05,113829
8744c1310ffffff,6,609950,220.0504366,5881,-0.52,85894
8744c1311ffffff,12,433550,268.632634,7700,2.04,60297
8744c1312ffffff,18,519087.5,230.0854188,7614,-0.4,127298
8744c1313ffffff,16,382500,205.6785632,4087,0.78,57954
8744c1314ffffff,21,598000,278.6624204,4245,-0.45,192661
8744c1315ffffff,38,264750,232.7604167,8721,-0.23,75355
8744c1316ffffff,31,538000,209.592145,5309,0.4,113331
8744c1318ffffff,37,435000,234.6153846,6114,0.32,88916
8744c1319ffffff,21,865000,246.7700258,4490,-0.49,220721
8744c131affffff,12,420000,207.0967742,9051,0,55130
8744c131bffffff,22,640000,232.1787149,4474,-0.58,173584
8744c131cffffff,19,585000,291.1646586,6101,1.98,75241
8744c131dffffff,39,660000,276.8956289,10324,-0.23,87883
8744c131effffff,13,355000,227.4317705,5516,4.22,63134
8744c1320ffffff,89,287500,222.7011494,12819,0.7,95432
8744c1321ffffff,84,420000,333.3333333,14057,0.24,131759
8744c1322ffffff,36,741250,259.9763264,9951,-0.16,104145
8744c1323ffffff,80,525000,295.1167728,15458,0.79,117934
8744c1324ffffff,57,718995,362.5,11999,1.18,104457
8744c1325ffffff,116,875000,434.7172513,11016,0.04,110872
8744c1326ffffff,46,606250,314.4195792,9037,0.51,100385
8744c1328ffffff,22,1287500,249.9858555,3641,-0.67,255204
8744c1329ffffff,18,2342500,332.6862683,2810,-0.99,235051
8744c132affffff,33,650000,328.9838978,7322,-0.25,117041
8744c132bffffff,42,821250,267.4470792,7945,-0.71,107542
8744c132cffffff,9,2000000,382.7674568,1687,-0.66,265914
8744c132dffffff,9,3400000,402.2058824,1611,-0.35,256744
8744c132effffff,46,662500,323.2702939,6643,0.47,148859
8744c1330ffffff,25,654000,280.4003585,5051,-0.21,185148
8744c1331ffffff,15,610000,300.6475486,13883,0.36,74630
8744c1332ffffff,38,584500,252.0431845,5205,-0.49,144832
8744c1333ffffff,25,730000,318.1352459,8395,-0.42,93411
8744c1334ffffff,58,495000,300.5637773,9959,0.3,117058
8744c1335ffffff,27,540000,250.533049,10563,0.21,90275
8744c1336ffffff,28,431265,305.3988719,5019,0.29,124667
8744c1340ffffff,23,620000,246.1294164,4643,-0.09,173273
8744c1341ffffff,26,517500,218.2661003,5059,-0.26,166240
8744c1342ffffff,20,902875,255.0036179,6146,0.27,205416
8744c1343ffffff,37,650000,249.6355685,5377,-0.28,173258
8744c1344ffffff,21,631000,250.5070994,5613,-0.18,183724
8744c1345ffffff,29,628000,233.7147887,5447,-0.13,157061
8744c1346ffffff,16,815000,263.5822836,4223,-0.21,151541
8744c1348ffffff,33,550000,240.1256732,4314,0.08,141743
8744c1349ffffff,27,412000,231.9745061,3917,0.1,108223
8744c134affffff,42,757500,216.2910401,4695,0.17,175333
8744c134bffffff,28,577000,250.7062147,5183,0.71,136026
8744c134cffffff,19,491500,210.4283054,5973,0.5,142399
